,uuid, sensorpoint
713@1042@V,f1c8ac46-842c-4764-875b-9b06febc2cd7,PresentValue
306@-121@V,89034517-0c37-4814-af9c-d97b800e60c3,PresentValue
29@1042@V,9d1f8a44-1b9b-4660-a38a-990ea6a8ff0c,PresentValue
1071@1042@V,e9f35b7f-2060-45a9-ab1b-eb3d374f8252,PresentValue
307@1042@V,cebf6376-9d06-4042-8fa4-721a78d38e0a,PresentValue
1008@-110@V,08a4d3d6-5b58-47a2-bbbd-0dbc4511b1bb,PresentValue
318@-479@V,20ea13c6-55b8-43ab-906e-e9ae79638e25,PresentValue
318@-488@V,2e17140d-d490-4ad6-9594-86f3f41b9e61,PresentValue
320@1042@V,9710f531-ba33-4053-94ec-24039a92f249,PresentValue
329@1042@V,fb3e979c-41a9-477f-bd43-43166cfad90a,PresentValue
335@1042@V,4962bd13-426d-478f-b1a1-1ac03a657867,PresentValue
33@1042@V,fa8688a2-f1b6-4eae-a29d-bf5b6dd1d728,PresentValue
345@1042@V,66833259-fcca-4cea-b289-587758eed832,PresentValue
350@1042@V,df467ccd-0b00-4929-9195-cec7a54b1dff,PresentValue
880@-505@V,fe3a1d81-8e5f-4426-ab2b-73d187972128,PresentValue
880@-130@V,db14b9a7-78b5-4f46-9a0e-3dfe7e5cf2af,PresentValue
383@-727@V,27200ca0-fff7-40fe-88cd-075dda7fdd4e,PresentValue
382@-497@V,798e0716-4bae-4f54-8b0d-042f247d652a,PresentValue
392@1042@V,badd9132-e526-4a12-b9ce-c5aee436174f,PresentValue
891@-110@V,35bd414a-142a-4ee5-af11-fb2a306c6e55,PresentValue
398@-121@V,3aed4f00-3c15-428a-a3fe-9427bc112072,PresentValue
398@-479@V,5ff2fffb-0509-4959-aa4e-3dad4ed7d1af,PresentValue
398@-505@V,e3f1102e-c446-49b5-b8cb-e8bc52103d1d,PresentValue
397@1042@V,ea5bcada-dc1b-4aa2-b64a-26f611e90a37,PresentValue
402@1042@V,ce57fb3c-d5c2-4b81-b52b-0ee1035da39b,PresentValue
410@1042@V,89185fa8-adfe-4436-a852-6809545e9243,PresentValue
1009@-479@V,c7b0d253-4acd-4af2-b39f-85c9b40acfb0,PresentValue
414@1042@V,76676913-5429-4e05-9250-296cd08f8481,PresentValue
437@1042@V,f559d1a7-5f70-4bc9-969b-f63f241e39e1,PresentValue
442@1042@V,11b30b6f-696e-41be-af1f-247c639e840b,PresentValue
939@-497@V,fe481039-db09-4ac9-870a-8433ccfaa8bc,PresentValue
946@-110@V,45017b58-4793-4f01-a9a0-692fb7614534,PresentValue
